d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
ALMAGUER JUAREZ CAIN	Prospect	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	88190	MX	1301 Hoch Drive	MEXICO	MX-NL	88190	MX	AAJC741030326	www.ALMAGUER JUAREZ CAIN.com	Government	Public	45	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ALMEIDA OROZCO HECTOR JAVIER	Customer - Direct	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	38000	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	38000	MX	AEOH590418P45	www.ALMEIDA OROZCO HECTOR JAVIER.com	Food & Beverage	Other	436	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALMHER Y ASOCIADOS SC	Customer - Channel	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	38040	MX	CES081007NE0	MEXICO	MX-NL	38040	MX	AAS011024LH5	www.ALMHER Y ASOCIADOS SC.com	Construction	Subsidiary	234	Hot	Commerical logistics and transportation company.						
Alpha Stamping Company	Channel Partner / Reseller	525 S. Lexington Ave	Livonia	MI	48150	US	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Livonia	MI	48150	US	38-1630839	www.Alpha Stamping Company.com	Biotechnology	Other	452	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALRI S.A. DE C.V.	Installation Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	97117	MX	1301 Hoch Drive	MEXICO	MX-NL	97117	MX	ALR9701239D1	www.ALRI S.A. DE C.V..com	Shipping	Subsidiary	56	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ALTAMIRA MEZA MARTHA	Technology Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	0	MX	1301 Hoch Drive	MEXICO	MX-NL	0	MX	AAMM591226DX1	www.ALTAMIRA MEZA MARTHA.com	Engineering	Other	345	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ALVAREZ GONZALEZ ENRIQUE	Other	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	22920	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	22920	MX	AAGE8203057V4	www.ALVAREZ GONZALEZ ENRIQUE.com	Healthcare	Private	23	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ALVAREZ LUCERO MAXIMINO	Prospect	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	23150	MX	Test acc 2157	MEXICO	MX-NL	23150	MX	AALM730710BF4	www.ALVAREZ LUCERO MAXIMINO.com	Environmental	Private	35234	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ALVAREZ ROBLEDO EDUARDO	Customer - Direct	The Landmark @ One Market	MEXICO	MX-NL	20900	MX	Test acc 2157	MEXICO	MX-NL	20900	MX	AARE691227QF9	www.ALVAREZ ROBLEDO EDUARDO.com	Education	Public	23	Cold	World's third largest oil and gas company.						
AMADA PROCESOS INDUSTRIALES SA DE CV	Customer - Channel	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-MX	0	MX	CES081007NE0	MEXICO	MX-MX	0	MX	API120717E79	www.AMADA PROCESOS INDUSTRIALES SA DE CV.com	Energy	Subsidiary	120	Cold	Commerical logistics and transportation company.						
AMECAR AC	Channel Partner / Reseller	1301 Hoch Drive	MEXICO	MX-NL	22010	MX	1301 Hoch Drive	MEXICO	MX-NL	22010	MX	AME050704ME2	www.AMECAR AC.com	Not For Profit	Other	234	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
American Bolt & Screw	Installation Partner	2 Place Jussieu	Ontario	CA	91761	US	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Ontario	CA	91761	US	112328266	www.American Bolt & Screw.com	Government	Public	45	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
AMERICANA MEXICANA DE TELECOMUNICAC	Technology Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	83010	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	83010	MX	AMT021219BP5	www.AMERICANA MEXICANA DE TELECOMUNICAC.com	Machinery	Public	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
Ampar International Pty Ltd	Other	"312 Constitution Place
Austin, TX 78767
USA"	Minchinbury	AU-NS	2770	AU	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Minchinbury	AU-NS	2770	AU	79081227778	www.Ampar International Pty Ltd.com	Not For Profit	Other	34	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ANA GRACIELA JASSO GARCIA	Prospect	"345 Shoreline Park
Mountain View, CA 94043
USA"	VILLAHERMOSA	MX-TB	86280	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	VILLAHERMOSA	MX-TB	86280	MX	JAGA741112S4A	www.ANA GRACIELA JASSO GARCIA.com	Insurance	Other	4	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ANALITICA DEL NOROESTES.A DE C.V.	Customer - Direct	525 S. Lexington Ave	MEXICO	MX-NL	83200	MX	2 Place Jussieu	MEXICO	MX-NL	83200	MX	ANX940613U42	www.ANALITICA DEL NOROESTES.A DE C.V..com	Food & Beverage	Other	234	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ANGELICA MARIA PALAFOX VELARDE	Customer - Channel	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	HERMOSILLO	MX-SO	83170	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	HERMOSILLO	MX-SO	83170	MX	PAVA870924586	www.ANGELICA MARIA PALAFOX VELARDE.com	Recreation	Public	5	Cold	World's third largest oil and gas company.						
ANGLO CORP S.A. DE C.V.	Channel Partner / Reseller	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	0	MX	2 Place Jussieu	MEXICO	MX-NL	0	MX	ACO930525C12	www.ANGLO CORP S.A. DE C.V..com	Telecommunications	Public	8	Warm	World's third largest oil and gas company.						
ANGULO MEZA FRANCISCO ADRIAN	Installation Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	23435	MX	CES081007NE0	MEXICO	MX-NL	23435	MX	AUMF741115EW9	www.ANGULO MEZA FRANCISCO ADRIAN.com	Retail	Private	4567	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ANTONIO GONZALEZ ELIZONDO CABELLO	Technology Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	CUATITLAN IZACALLI	MX-MX	54740	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	CUATITLAN IZACALLI	MX-MX	54740	MX	GOCA5309216S4	www.ANTONIO GONZALEZ ELIZONDO CABELLO.com	Energy	Subsidiary	1234	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ANTONIO MORALES BARRON	Other	The Landmark @ One Market	MEXICALI	MX-BN	21340	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICALI	MX-BN	21340	MX	MOBA82100538A	www.ANTONIO MORALES BARRON.com	Manufacturing	Private	23	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ANTONIO VALENCIANO MARRUFO	Prospect	"1301 Avenue of the Americas 
New York, NY 10019
USA"	GUADALUPE	MX-NL	67110	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	GUADALUPE	MX-NL	67110	MX	VAMA700828JV3	www.ANTONIO VALENCIANO MARRUFO.com	Entertainment	Public	45	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
Anunay Fab Ltd	Customer - Direct	1301 Hoch Drive	Ahmedabad	IN-GJ	380015	IN	CES081007NE0	Ahmedabad	IN-GJ	380015	IN	(201) 305-2301	www.Anunay Fab Ltd.com	Chemicals	Public	2342	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
AOC MEXICO SA DE CV	Customer - Channel	2 Place Jussieu	X	MX-MX	0	MX	1301 Hoch Drive	X	MX-MX	0	MX	AME020911498	www.AOC MEXICO SA DE CV.com	Recreation	Public	5	Cold	World's third largest oil and gas company.						
AP DE MEXICO SA DE CV	Channel Partner / Reseller	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	38050	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	38050	MX	PME9704086S8	www.AP DE MEXICO SA DE CV.com	Government	Public	45	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
APLICACIONES INDUSTRIALES Y	Installation Partner	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	76800	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	76800	MX	AIC891130823	www.APLICACIONES INDUSTRIALES Y.com	Chemicals	Public	345	Warm	World's third largest oil and gas company.						
APLNG	Technology Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	Brisbane	AU-QL	4001	AU	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Brisbane	AU-QL	4001	AU	68001646331	www.APLNG.com	Shipping	Subsidiary	57	Warm	Commerical logistics and transportation company.						
ARAUJO MEDINA GERARDO	Other	525 S. Lexington Ave	MEXICO	MX-NL	66470	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	66470	MX	AAMG491016619	www.ARAUJO MEDINA GERARDO.com	Entertainment	Public	52	Cold	Commerical logistics and transportation company.						
ARC International Group Limited (FOB Ningbo)	Prospect	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Hong Kong	HK-HK	HKSAR	HK	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Hong Kong	HK-HK	HKSAR	HK	993822	www.ARC International Group Limited (FOB Ningbo).com	Telecommunications	Public	8	Warm	World's third largest oil and gas company.						
ARCHER DANIELS MIDLAND COMPANY	Customer - Direct	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	DECATUR	IL	62525	US	"1301 Avenue of the Americas 
New York, NY 10019
USA"	DECATUR	IL	62525	US	41-0129150	www.ARCHER DANIELS MIDLAND COMPANY.com	Recreation	Public	5	Cold	World's third largest oil and gas company.						
ARCO ENTERPRISES SA DE CV	Customer - Channel	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	54080	MX	Test acc 2157	MEXICO	MX-NL	54080	MX	AEN800703UP9	www.ARCO ENTERPRISES SA DE CV.com	Government	Public	3	Hot	World's third largest oil and gas company.						
ARGO ALMACENADORA SA DE CV	Channel Partner / Reseller	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	94500	MX	DHE010828K6A	MEXICO	MX-NL	94500	MX	AAL910305U62	www.ARGO ALMACENADORA SA DE CV.com	Finance	Subsidiary	1234123	Warm	World's third largest oil and gas company.						
Arla Foods	Installation Partner	The Landmark @ One Market	Leeds	GB-LDS	LS10 1AB	GB	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Leeds	GB-LDS	LS10 1AB	GB	705321768	www.Arla Foods.com	Chemicals	Public	2342	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
Arnott Inc	Technology Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Merritt Island	FL	32953	US	"345 Shoreline Park
Mountain View, CA 94043
USA"	Merritt Island	FL	32953	US	593491791	www.Arnott Inc.com	Government	Public	23	Warm	Commerical logistics and transportation company.						
ARRENDADORA CAPITA CORPORATION	Other	1301 Hoch Drive	MEXICO	MX-NL	11000	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	11000	MX	ACC940830BZA	www.ARRENDADORA CAPITA CORPORATION.com	Agriculture	Public	12341	Warm	Commerical logistics and transportation company.						
ARTE Y PUBLICIDAD DE CULIACAN SA DE	Prospect	2 Place Jussieu	MEXICO	MX-NL	80128	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	80128	MX	APCO40820BJ9	www.ARTE Y PUBLICIDAD DE CULIACAN SA DE.com	Entertainment	Public	234234	Warm	World's third largest oil and gas company.						
ARTEX INDUSTRIAL LTD	Customer - Direct	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Qingdao	CN-SD	266071	CN	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Qingdao	CN-SD	266071	CN	(201) 305-3102	www.ARTEX INDUSTRIAL LTD.com	Electronics	Private	265	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ARTICULOS ELECTRICOS INDUSTRIALES	Customer - Channel	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	24100	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	24100	MX	AEI861027P26	www.ARTICULOS ELECTRICOS INDUSTRIALES.com	Healthcare	Private	456	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ARTICULOS SELECTOS Y JUEGOS SA DE CV	Channel Partner / Reseller	"345 Shoreline Park
Mountain View, CA 94043
USA"	CUAUHTEMOC	MX-DF	6470	MX	1301 Hoch Drive	CUAUHTEMOC	MX-DF	6470	MX	ASJ120810DM5	www.ARTICULOS SELECTOS Y JUEGOS SA DE CV.com	Other	Other	2345	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ARTICULOS Y MOTORES ELECTRICOS	Installation Partner	525 S. Lexington Ave	MEXICO	MX-NL	97000	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	97000	MX	AME8409102M3	www.ARTICULOS Y MOTORES ELECTRICOS.com	Media	Subsidiary	45	Hot	Commerical logistics and transportation company.						
ARTICULOS Y SERVICIOS EMPRESARIALES	Technology Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	0	MX	ASE960228BF3	www.ARTICULOS Y SERVICIOS EMPRESARIALES.com	Construction	Subsidiary	1000	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ASHLAND CHEMICAL DE MEXICO SA DE	Other	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-DF	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-DF	0	MX	ACM931025R17	www.ASHLAND CHEMICAL DE MEXICO SA DE.com	Utilities	Subsidiary	3	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ASIAMI SA DE CV	Prospect	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	54720	MX	DHE010828K6A	MEXICO	MX-NL	54720	MX	ASI010530AT0	www.ASIAMI SA DE CV.com	Consulting	Other	39000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ASISTENCIA JURIDICA ESPECIALIZADA S	Customer - Direct	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	52179	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	52179	MX	AJE0409107Y1	www.ASISTENCIA JURIDICA ESPECIALIZADA S.com	Transportation	Private	46	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ASMARA INTERNATIONAL LIMITED	Customer - Channel	The Landmark @ One Market	Hong Kong	HK-HK	11111	HK	CES081007NE0	Hong Kong	HK-HK	11111	HK	(201) 305-3101	www.ASMARA INTERNATIONAL LIMITED.com	Construction	Subsidiary	1000	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ASOC. LOC. CENTRAL ABAST. VER.	Channel Partner / Reseller	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	0	MX	Test acc 2157	MEXICO	MX-NL	0	MX	ALC880403DC1	www.ASOC. LOC. CENTRAL ABAST. VER..com	Telecommunications	Public	63	Cold	Commerical logistics and transportation company.						
ASOCIACION ALE AC	Installation Partner	1301 Hoch Drive	MEXICO	MX-NL	81240	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	81240	MX	AAL060705QI7	www.ASOCIACION ALE AC.com	Food & Beverage	Other	43	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ASOCIACION DE AVICULTORESDE CORDOBA	Technology Partner	2 Place Jussieu	MEXICO	MX-NL	94470	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	94470	MX	AAC6309277A3	www.ASOCIACION DE AVICULTORESDE CORDOBA.com	Hospitality	Subsidiary	45	Warm	Commerical logistics and transportation company.						
ASOCIACION DE CONDOMINOS DE LA CENT	Other	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	35078	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	35078	MX	ACC950616626	www.ASOCIACION DE CONDOMINOS DE LA CENT.com	Other	Other	412	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ASOCIACION DE EMPRESAS DEL PARQUE	Prospect	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	66600	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	66600	MX	AEP000525F10	www.ASOCIACION DE EMPRESAS DEL PARQUE.com	Finance	Subsidiary	52	Cold	Commerical logistics and transportation company.						
ASOCIACION DE TENIS PARA PERSONAS C	Customer - Direct	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	38000	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	38000	MX	ATP031211841	www.ASOCIACION DE TENIS PARA PERSONAS C.com	Telecommunications	Public	456745	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ASOCIACION MEXICANA DE COMUNICADORE	Customer - Channel	525 S. Lexington Ave	MEXICO	MX-NL	6140	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	6140	MX	AMC971219N11	www.ASOCIACION MEXICANA DE COMUNICADORE.com	Retail	Private	4634	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ASOCIACION NACIONAL PRO SUPERACION	Channel Partner / Reseller	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	0	MX	ANP771216SE1	www.ASOCIACION NACIONAL PRO SUPERACION.com	Healthcare	Private	45	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Asrotex	Installation Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Narayanganj	BD-3	1400	BD	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Narayanganj	BD-3	1400	BD	(201) 211-2201	www.Asrotex.com	Chemicals	Public	345	Warm	World's third largest oil and gas company.						
